Chromosome,Start,Stop,Gene
chr1,93645920,93744270,CCDC18
chr1,93913688,94020216,FNBP1L
chr1,94027351,94050692,BCAR3
chr1,94458738,94484228,ABCA4
chr1,94883933,94984219,ABCD3
chr1,95362766,95392638,CNN3
chr1,95699759,95711058,RWDD3
chr1,97187380,97279115,PTBP2
chr1,98157277,98386553,DPYD
chr1,99127236,99226054,SNX7
chr1,99729848,99775136,LPPR4
chr1,100174259,100231349,FRRS1
chr1,100318226,100389579,AGL
chr1,100436093,100489006,SLC35A3
chr1,100550677,100598444,SASS6
chr1,100614409,100643771,LRRC39
chr1,100810584,100965021,CDC14A
chr1,101339112,101360387,EXTL2
chr1,101455620,101460706,DPH5
chr1,101455761,101457653,AC093157.1
chr1,102269042,102302585,OLFM3
chr1,103342023,103574052,COL11A1
chr1,107599267,107601905,PRMT6
chr1,107682629,108024450,NTNG1
chr1,108115470,108231126,VAV3
chr1,108918421,109013624,NBPF6
chr1,109256067,109285365,FNDC7
chr1,109365461,109506106,AKNAD1
chr1,109419603,109473043,GPSM2
chr1,109472130,109506111,CLCC1
chr1,109512840,109584850,WDR47
chr1,109856527,109935979,SORT1
chr1,109944419,109969062,PSMA5
chr1,110009180,110022410,SYPL2
chr1,110198727,110204235,GSTM4
chr1,110210644,110217905,GSTM2
chr1,110254864,110260888,GSTM5
chr1,110276554,110283138,GSTM3
chr1,110453233,110472355,CSF1
chr1,110577241,110582503,STRIP1
chr1,110906248,110933648,SLC16A4
chr1,111145777,111148345,KCNA2
chr1,111415775,111442198,CD53
chr1,111770281,111786060,CHI3L2
chr1,111852996,111863185,CHIA
chr1,111957920,111970134,OVGP1
chr1,111983796,111991874,WDR77
chr1,112162405,112256101,RAP1A
chr1,112298521,112308452,DDX20
chr1,112318431,112531777,KCND3
chr1,113068381,113161738,ST7L
chr1,113217313,113229621,MOV10
chr1,113252625,113255593,PPM1J
chr1,113458828,113498616,SLC16A1
chr1,114239824,114301777,PHTF1
chr1,114357301,114414323,PTPN22
chr1,114442031,114447485,AP4B1
chr1,114497248,114520422,HIPK1
chr1,114522695,114524871,OLFML3
chr1,114631914,114696472,SYT6
chr1,114940243,115006048,TRIM33
chr1,115128221,115212732,DENND2C
chr1,115215735,115238239,AMPD1
chr1,115572415,115576941,TSHB
chr1,115593111,115632053,TSPAN2
chr1,116243653,116311335,CASQ2
chr1,116916489,116947394,ATP1A1
chr1,116915890,116926718,AL136376.1
chr1,117117031,117210314,IGSF3
chr1,117686209,117753549,VTCN1
chr1,118472343,118484411,WDR3
chr1,119575076,119682947,WARS2
chr1,120049826,120057681,HSD3B1
chr1,144146808,144160564,NBPF8
chr1,144339738,144521058,AL592284.1
chr1,144811744,144830301,NBPF9
chr1,144989309,144991365,AL590452.1
chr1,145293371,145368684,NBPF10
chr1,145516560,145523729,PEX11B
chr1,145525016,145542533,ITGA10
chr1,145549244,145561166,ANKRD35
chr1,145575290,145580662,PIAS3
chr1,145695798,145706861,CD160
chr1,145727725,145763793,PDZK1
chr1,145764599,145827103,GPR89A
chr1,146032648,146040968,NBPF11
chr1,146373546,146467638,NBPF12
chr1,146631069,146644046,PRKAB2
chr1,146714291,146767441,CHD1L
chr1,147124415,147142364,ACP6
chr1,147374946,147381393,GJA8
chr1,147631967,147632428,BX842679.1
chr1,148003660,148025848,NBPF14
chr1,148341796,148346929,NBPF20
chr1,148560843,148596267,NBPF15
chr1,149675978,149676609,AL358813.2
chr1,149754245,149783928,HIST2H2BF
chr1,149900546,149908791,MTMR11
chr1,150039439,150117466,VPS45
chr1,150122108,150131790,PLEKHO1
chr1,150190861,150208460,ANP32E
chr1,150237823,150241416,APH1A
chr1,150294002,150325608,PRPF3
chr1,150337169,150444519,RPRD2
chr1,150459887,150471711,TARS2
chr1,150521898,150533408,ADAMTSL4
chr1,150521897,150524367,AL356356.1
chr1,150594604,150602072,ENSA
chr1,150620687,150669630,GOLPH3L
chr1,150670542,150693352,HORMAD1
chr1,150702551,150738305,CTSS
chr1,150980953,151008189,PRUNE
chr1,151023449,151032125,CDC42SE1
chr1,151043080,151092396,GABPB2
chr1,151142464,151148457,TMOD4
chr1,151206921,151221068,PIP5K1A
chr1,151254791,151264380,ZNF687
chr1,151264413,151298724,PI4KB
chr1,151314507,151319769,RFX5
chr1,151336781,151345176,SELENBP1
chr1,151375200,151431932,POGZ
chr1,151512781,151556058,TUFT1
chr1,151675426,151680386,CELF3
chr1,151682909,151702070,AL589765.1
chr1,151735445,151743805,OAZ3
chr1,151746575,151762906,TDRKH
chr1,151779370,151804226,RORC
chr1,152681523,152681910,LCE4A
chr1,152691998,152692905,C1orf68
chr1,152799949,152800573,LCE1A
chr1,152881023,152884360,IVL
chr1,152956557,152958289,SPRR1A
chr1,152974223,152976331,SPRR3
chr1,153004822,153005091,SPRR1B
chr1,153409471,153412503,S100A7L2
chr1,153509623,153514241,S100A5
chr1,153591280,153600715,S100A13
chr1,153609065,153617946,CHTOP
chr1,153700543,153746555,INTS3
chr1,153747768,153752630,SLC27A3
chr1,153932096,153936025,SLC39A1
chr1,153940346,153946832,CREB3L4
chr1,153965170,154127592,NUP210L
chr1,154193325,154243328,UBAP2L
chr1,154301275,154314264,ATP8B2
chr1,154554538,154600474,ADAR
chr1,154585067,154585190,AL606500.1
chr1,154917061,154928583,PBXIP1
chr1,154960506,154965587,FLAD1
chr1,154975127,154989244,ZBTB7B
chr1,154996047,155006257,DCST2
chr1,155006300,155021595,DCST1
chr1,155023762,155035252,ADAM15
chr1,155036224,155059278,EFNA3
chr1,155145873,155154535,TRIM46
chr1,155158302,155162700,MUC1
chr1,155165380,155171789,THBS3
chr1,155204239,155211066,GBA
chr1,155278539,155290457,FDPS
chr1,155579979,155718153,MSTO1
chr1,155629246,155658260,YY1AP1
chr1,155658882,155708317,DAP3
chr1,155719510,155826972,GON4L
chr1,155829347,155851946,SYT11
chr1,155869974,155881193,RIT1
chr1,155916646,155959864,ARHGEF2
chr1,156084461,156109878,LMNA
chr1,156123388,156147534,SEMA4A
chr1,156163907,156180491,SLC25A44
chr1,156182798,156212874,PMF1
chr1,156213703,156217847,PAQR6
chr1,156339003,156355009,RHBG
chr1,156433522,156470529,MEF2D
chr1,156549519,156556562,TTC24
chr1,156567602,156571264,GPATCH4
chr1,156711902,156721390,HDGF
chr1,156737346,156770602,PRCC
chr1,156776036,156786640,SH2D2A
chr1,156863523,156886226,PEAR1
chr1,156905438,156918806,ARHGEF11
chr1,157485041,157522180,FCRL5
chr1,157716511,157746909,FCRL2
chr1,157963063,158065838,KIRREL
chr1,158323254,158326490,CD1E
chr1,158686958,158687953,OR6K3
chr1,158979682,159024943,IFI16
chr1,159173097,159176288,DARC
chr1,159682083,159684379,CRP
chr1,159842156,159868059,CCDC19
chr1,159879884,159880159,AL590560.1
chr1,160160285,160171674,CASQ1
chr1,160187254,160254920,DCAF8
chr1,160248271,160254916,PEX19
chr1,160313176,160328313,NCSTN
chr1,160510885,160549306,CD84
chr1,160579892,160617081,SLAMF1
chr1,160709039,160723442,SLAMF7
chr1,160765928,160798039,LY9
chr1,160802480,160832692,CD244
chr1,160968450,161008784,F11R
chr1,161009042,161015757,USF1
chr1,161035655,161035943,AL591806.1
chr1,161042197,161046272,PVRL4
chr1,161087907,161090983,NIT1
chr1,161090767,161102478,DEDD
chr1,161129254,161135504,USP21
chr1,161136301,161146907,PPOX
chr1,161171937,161184182,NDUFS2
chr1,161190160,161192296,AL590714.1
chr1,161195850,161199049,TOMM40L
chr1,161199456,161208000,NR1I3
chr1,161274529,161279762,MPZ
chr1,161511555,161519818,FCGR3A
chr1,161551101,161648440,FCGR2B
chr1,161592992,161601158,FCGR3B
chr1,161676762,161684141,FCRLA
chr1,161692457,161697932,FCRLB
chr1,162365373,162381916,SH2D1B
chr1,162467041,162493844,UHMK1
chr1,162531323,162569626,UAP1
chr1,162760523,162782607,HSD17B7
chr1,162822818,162838605,C1orf110
chr1,164529060,164818639,PBX1
chr1,165601477,165624853,MGST3
chr1,165632048,165667545,ALDH9A1
chr1,165797059,165877607,UCK2
chr1,166026679,166028709,AL626787.1
chr1,166808681,166822397,POGK
chr1,166958498,166991414,MAEL
chr1,167064087,167098402,DUSP27
chr1,167190143,167385326,POU2F1
chr1,167599637,167674023,RCSD1
chr1,167778625,167883453,ADCY10
chr1,167905937,168044869,DCAF6
chr1,168054016,168074167,GPR161
chr1,168195255,168212087,SFT2D2
chr1,169077186,169101553,ATP1B1
chr1,169364285,169429907,CCDC181
chr1,169515727,169555719,F5
chr1,169558090,169599377,SELP
chr1,169764181,169798955,C1orf112
chr1,169691781,169703220,SELE
chr1,169821804,169863076,SCYL3
chr1,169890478,169995042,KIFAP3
chr1,170904612,171033906,MROH9
chr1,171060041,171086607,FMO3
chr1,171154388,171181822,FMO2
chr1,171217690,171254766,FMO1
chr1,171454651,171560986,PRRC2C
chr1,171669312,171711202,VAMP4
chr1,171750788,171766101,METTL13
chr1,171810621,172381856,DNM3
chr1,172628154,172636014,FASLG
chr1,173009100,173020056,TNFSF18
chr1,173494015,173572189,SLC9C2
chr1,173684109,173754885,KLHL20
chr1,173793797,173827682,DARS2
chr1,173837493,173855774,ZBTB37
chr1,173900352,173962202,RC3H1
chr1,174128548,174514089,RABGAP1L
chr1,175126123,175135877,KIAA0040
chr1,175291935,175712752,TNR
chr1,178062864,178448644,RASAL2
chr1,178482212,178500693,TEX35
chr1,178511950,178517579,C1ORF220
chr1,178694379,178885784,RALGPS2
chr1,179068463,179112179,ABL2
chr1,179262925,179322942,SOAT1
chr1,179334876,179460786,AXDND1
chr1,179443716,179457805,AL160286.1
chr1,179561025,179660398,TDRD5
chr1,179833916,179834311,IFRG15
chr1,180941695,180949868,AL162431.1
chr1,180945426,180992005,STX6
chr1,181003067,181024725,MR1
chr1,181452716,181770711,CACNA1E
chr1,182350840,182361341,GLUL
chr1,182419281,182523785,RGSL1
chr1,182542772,182556108,RNASEL
chr1,182758911,182799237,NPL
chr1,182869001,182921119,SHCBP1L
chr1,183441506,183521066,SMG7
chr1,183524698,183559739,NCF2
chr1,183605244,183895793,RGL1
chr1,183898796,184006611,COLGALT2
chr1,184662957,184723701,EDEM3
chr1,185087220,185126116,TRMT1L
chr1,185266898,185280439,IVNS1ABP
chr1,185703683,186160085,HMCN1
chr1,186265405,186283686,PRG4
chr1,186344890,186390499,C1orf27
chr1,186364123,186365908,AL596220.1
chr1,186413020,186415637,PDC
chr1,186798122,186957806,PLA2G4A
chr1,190066797,190444942,FAM5C
chr1,192605282,192629390,RGS13
chr1,192989017,193029237,UCHL5
chr1,193029004,193053861,TROVE2
chr1,196194913,196577541,KCNT2
chr1,196621008,196670693,CFH
chr1,196788898,196928356,CFHR2
chr1,196857144,196887843,CFHR4
chr1,196946667,196978804,CFHR5
chr1,197053258,197115824,ASPM
chr1,197170592,197447212,CRB1
chr1,197521385,197704767,DENND1B
chr1,198492356,198510075,ATP6V1G3
chr1,198608146,198726545,PTPRC
chr1,200011717,200143389,NR5A2
chr1,200610119,200638997,DDX59
chr1,201083880,201084796,ASCL5
chr1,201159953,201198080,IGFN1
chr1,201252580,201302121,PKP1
chr1,201328142,201346805,TNNT2
chr1,201592013,201592738,AC096677.1
chr1,201617450,201796102,NAV1
chr1,202116143,202129751,PTPN7
chr1,202317830,202557697,PPP1R12B
chr1,202861533,202897727,KLHL12
chr1,202909963,202927700,ADIPOR1
chr1,203003612,203047863,PPFIA4
chr1,203096836,203136533,ADORA1
chr1,203185798,203198799,CHIT1
chr1,203595928,203713207,ATP2B4
chr1,204100191,204121307,ETNK2
chr1,204123944,204135465,REN
chr1,204391934,204459446,PIK3C2B
chr1,204485534,204542871,MDM4
chr1,204797782,204991949,NFASC
chr1,205111632,205180727,DSTYK
chr1,205198059,205241431,TMCC2
chr1,205306018,205325916,KLHDC8A
chr1,205350513,205391214,LEMD1
chr1,205538112,205569912,MFSD4
chr1,205682497,205684153,AC119673.1
chr1,205882182,205912588,SLC26A9
chr1,206317459,206332104,CTSE
chr1,206557366,206637783,SRGAP2
chr1,206643838,206669607,IKBKE
chr1,207039198,207041909,IL20
chr1,207078364,207095212,FAIM3
chr1,207131312,207143970,FCAMR
chr1,207217194,207225580,YOD1
chr1,207222801,207252479,PFKFB2
chr1,207262887,207269240,C4BPB
chr1,207495029,207533110,CD55
chr1,207627710,207663234,CR2
chr1,207925402,207968858,CD46
chr1,208060661,208084461,CD34
chr1,209788220,209824679,LAMB3
chr1,209933385,209955664,TRAF3IP3
chr1,209961697,209979465,IRF6
chr1,210111538,210337631,SYT14
chr1,210501596,210849638,HHAT
chr1,211500169,211546246,TRAF5
chr1,211836481,211848933,NEK2
chr1,212114883,212208881,INTS7
chr1,212209092,212276604,DTL
chr1,212475425,212534112,PPP2R5A
chr1,212537824,212588243,TMEM206
chr1,212910985,212965119,NSL1
chr1,213123887,213146783,VASH2
chr1,213168271,213188820,ANGEL2
chr1,213224589,213446127,RPS6KC1
chr1,214161860,214209760,PROX1
chr1,214454576,214510177,SMYD2
chr1,214531268,214638146,PTPN14
chr1,215796236,216596738,USH2A
chr1,216676596,216896795,ESRRG
chr1,220088791,220131989,SLC30A10
chr1,220230824,220263191,BPNT1
chr1,220267455,220321376,IARS2
chr1,220603286,220608023,AC096644.1
chr1,220701568,220837798,MARK1
chr1,221874766,221915461,DUSP10
chr1,222731244,222763220,TAF1A
chr1,222791444,222841351,MIA3
chr1,222842919,222886526,AIDA
chr1,222886718,222906254,BROX
chr1,223282748,223310629,TLR5
chr1,223394163,223537544,SUSD4
chr1,223714983,223853348,CAPN8
chr1,223889295,223963718,CAPN2
