Chromosome,Start,Stop,Gene
chr1,2336236,2343969,PEX10
chr1,2357419,2436969,PLCH2
chr1,2439972,2458039,PANK4
chr1,2460184,2461684,HES5
chr1,2487078,2492153,TNFRSF14
chr1,2517930,2521071,FAM213B
chr1,2522078,2524117,MMEL1
chr1,2567415,2571151,TTC34
chr1,2938046,2939465,ACTRT2
chr1,2985732,3350906,PRDM16
chr1,3370990,3397677,ARHGEF16
chr1,3406484,3448012,MEGF6
chr1,3541566,3546691,TPRG1L
chr1,3547331,3566622,WRAP73
chr1,3569084,3652765,TP73
chr1,3668962,3688208,CCDC27
chr1,3689352,3692546,SMIM1
chr1,3696784,3713068,LRRC47
chr1,3728645,3773763,CEP104
chr1,3773845,3801993,DFFB
chr1,3805689,3816811,C1orf174
chr1,4714792,4837854,AJAP1
chr1,5922871,5927712,NPHP4
chr1,6051526,6160235,KCNAB2
chr1,6161853,6240183,CHD5
chr1,6241329,6257817,RPL22
chr1,6265535,6268367,RNF207
chr1,6281253,6296000,ICMT
chr1,6304252,6305638,HES3
chr1,6307406,6321035,GPR153
chr1,6324333,6419404,ACOT7
chr1,6472478,6484730,HES2
chr1,6484848,6521004,ESPN
chr1,6521211,6523682,TNFRSF25
chr1,6526152,6537648,PLEKHG5
chr1,6581407,6614595,NOL9
chr1,6615241,6639817,TAS1R1
chr1,6640061,6642359,ZBTB48
chr1,6650784,6662929,KLHL21
chr1,6673745,6684093,PHF13
chr1,6684926,6693625,THAP3
chr1,6694228,6705117,DNAJC11
chr1,6845384,7829766,CAMTA1
chr1,7831329,7841492,VAMP3
chr1,7844380,7864018,PER3
chr1,7903143,7913572,UTS2
chr1,7979907,8000926,TNFRSF9
chr1,8014351,8045112,PARK7
chr1,8064464,8086343,ERRFI1
chr1,8377886,8404225,SLC45A1
chr1,8412457,8877524,RERE
chr1,8921061,8938749,ENO1
chr1,9005926,9027804,CA6
chr1,9063359,9086404,SLC2A7
chr1,9095166,9129775,SLC2A5
chr1,9160364,9189229,GPR157
chr1,9294834,9331396,H6PD
chr1,9352939,9429591,SPSB1
chr1,9599541,9642831,SLC25A33
chr1,9648980,9665012,TMEM201
chr1,9711803,9788977,PIK3CD
chr1,9712668,9714644,C1orf200
chr1,9789084,9884584,CLSTN1
chr1,9908334,9970321,CTNNBIP1
chr1,9982173,9995678,LZIC
chr1,10003486,10041824,NMNAT1
chr1,10057264,10076078,RBP7
chr1,10092890,10240425,UBE4B
chr1,10270863,10368655,KIF1B
chr1,10458649,10471609,PGD
chr1,10490500,10502866,APITD1
chr1,10490159,10512210,APITD1-CORT
chr1,10509776,10511959,CORT
chr1,10516579,10532583,DFFA
chr1,10532345,10596629,PEX14
chr1,10696661,10856705,CASZ1
chr1,11006528,11009808,C1orf127
chr1,11072414,11080546,TARDBP
chr1,11086580,11107280,MASP2
chr1,11114641,11115261,SRM
chr1,11126675,11159926,EXOSC10
chr1,11166592,11191615,MTOR
chr1,11249398,11256038,ANGPTL7
chr1,11333263,11348491,UBIAD1
chr1,11539223,11542017,PTCHD2
chr1,11708424,11714739,FBXO2
chr1,11714432,11722346,FBXO44
chr1,11724181,11734411,FBXO6
chr1,11734537,11751707,MAD2L2
chr1,11751786,11785914,DRAXIN
chr1,11796141,11810767,AGTRAP
chr1,11826799,11838367,C1orf167
chr1,11845780,11863302,MTHFR
chr1,11866268,11903201,CLCN6
chr1,11905766,11907840,NPPA
chr1,11917521,11918988,NPPB
chr1,11979648,11986480,KIAA2013
chr1,11994262,12018677,PLOD1
chr1,12040356,12049291,MFN2
chr1,12079523,12089912,MIIP
chr1,12123434,12204264,TNFRSF8
chr1,12227060,12269285,TNFRSF1B
chr1,12290124,12572099,VPS13D
chr1,12627939,12677737,DHRS3
chr1,12704566,12727097,AADACL4
chr1,12776118,12788726,AADACL3
chr1,12806163,12823847,C1orf158
chr1,12834984,12838049,PRAMEF12
chr1,12851546,12856777,PRAMEF1
chr1,12884805,12891264,PRAMEF11
chr1,12907261,12908578,HNRNPCL1
chr1,12916941,12921764,PRAMEF2
chr1,12939045,12946025,PRAMEF4
chr1,12952727,12958101,PRAMEF10
chr1,12977513,12980233,PRAMEF7
chr1,12998505,13002348,PRAMEF6
chr1,13035543,13038381,PRAMEF22
chr1,13052394,13052998,WI2-3308P17.2
chr1,13216356,13219581,WI2-2994D6.2
chr1,13328196,13331692,PRAMEF3
chr1,13359819,13369057,PRAMEF5
chr1,13386646,13390765,PRAMEF8
chr1,13421176,13428191,PRAMEF9
chr1,13447414,13452656,PRAMEF13
chr1,13474689,13477522,PRAMEF18
chr1,13495254,13498260,PRAMEF16
chr1,13521973,13526873,PRAMEF21
chr1,13641973,13648988,PRAMEF15
chr1,13668411,13670217,PRAMEF14
chr1,13695525,13698151,PRAMEF19
chr1,13716092,13719089,PRAMEF17
chr1,13742808,13747803,PRAMEF20
chr1,13801445,13840543,LRRC38
chr1,13909960,13944452,PDPN
chr1,14026693,14075958,PRDM2
chr1,14925200,15393056,KAZN
chr1,15479028,15546973,TMEM51
chr1,15494970,15497813,C1orf195
chr1,15573768,15726858,FHAD1
chr1,15736391,15756839,EFHD2
chr1,15764935,15773149,CTRC
chr1,15783223,15789506,CELA2A
chr1,15792404,15809863,CELA2B
chr1,15817327,15850940,CASP9
chr1,15853308,15893090,DNAJC16
chr1,15898848,15911605,AGMAT
chr1,15943995,15995539,DDI2
chr1,15986364,15988217,RSC1A1
chr1,16010827,16061264,PLEKHM2
chr1,16062900,16067891,SLC25A34
chr1,16068917,16074477,TMEM82
chr1,16083102,16091568,FBLIM1
chr1,16174359,16266955,SPEN
chr1,16268364,16269217,ZBTB17
chr1,16330731,16335302,C1orf64
chr1,16340523,16344536,HSPB7
chr1,16345370,16360545,CLCNKA
chr1,16370272,16383803,CLCNKB
chr1,16384264,16400121,FAM131C
chr1,16450832,16482582,EPHA2
chr1,16524349,16533506,ARHGEF19
chr1,16558195,16563657,RSG1
chr1,16573334,16678949,FBXO42
chr1,16679070,16719850,SZRD1
chr1,16713612,16730469,SPATA21
chr1,16767167,16786573,NECAP2
chr1,16888814,16939982,NBPF1
chr1,17066768,17267929,CROCC
chr1,17300997,17304771,MFAP2
chr1,17312453,17338267,ATP13A2
chr1,17345217,17380665,SDHB
chr1,17393256,17445930,PADI2
chr1,17531621,17572500,PADI1
chr1,17575593,17610728,PADI3
chr1,17634690,17661291,PADI4
chr1,17733256,17766220,RCC2
chr1,17866330,18024364,ARHGEF10L
chr1,18081808,18153558,ACTL8
chr1,18434240,18704976,IGSF21
chr1,18807424,18812478,KLHDC7A
chr1,18957500,19062632,PAX7
chr1,19166093,19186176,TAS1R2
chr1,19175767,19247615,RP13-279N23.2
chr1,19197926,19229047,ALDH4A1
chr1,19230775,19283180,IFFO2
chr1,19401000,19536770,UBR4
chr1,19542158,19578046,EMC1
chr1,19578033,19586622,MRTO4
chr1,19609052,19615744,AKR7A3
chr1,19630459,19638640,AKR7A2
chr1,19638820,19655794,PQLC2
chr1,19665270,19812007,CAPZB
chr1,19923473,19984549,NBL1
chr1,19923477,19950284,MINOS1
chr1,19991780,20006055,HTR6
chr1,20008706,20126410,TMCO4
chr1,20140523,20141771,RNF186
chr1,20209006,20239438,OTUD3
chr1,20246502,20250110,PLA2G2E
chr1,20301928,20306100,PLA2G2A
chr1,20354672,20417683,PLA2G5
chr1,20438432,20446050,PLA2G2D
chr1,20465819,20476879,PLA2G2F
chr1,20487746,20503917,PLA2G2C
chr1,20512578,20522541,UBXN10
chr1,20617412,20680744,VWA5B1
chr1,20808884,20812713,CAMK2N1
chr1,20825943,20834654,MUL1
chr1,20878932,20881512,FAM43B
chr1,20915441,20945401,CDA
chr1,20959948,20978004,PINK1
chr1,20978270,20987888,DDOST
chr1,20990507,20991083,KIF17
chr1,21046225,21059133,SH2D5
chr1,21069154,21113181,HP1BP3
chr1,21132963,21377487,EIF4G3
chr1,21543740,21671997,ECE1
chr1,21766624,21768851,NBPF3
chr1,21835865,21904905,ALPL
chr1,21922714,21946534,RAP1GAP
chr1,22005072,22110099,USP48
chr1,22138758,22151714,LDLRAD2
chr1,22148738,22157206,HSPG2
chr1,22303514,22315837,CELA3B
chr1,22328149,22339015,CELA3A
chr1,22379161,22419437,CDC42
chr1,22446461,22469459,WNT4
chr1,22778360,22832734,ZBTB40
chr1,22890057,22916114,EPHA8
chr1,22962999,22966101,C1QA
chr1,22970123,22974603,C1QC
chr1,22979255,22987583,C1QB
chr1,23037458,23240236,EPHB2
chr1,23279536,23291831,LACTBL1
chr1,23337327,23340517,RP4-805N21.1
chr1,23345941,23410182,KDM1A
chr1,23410523,23504301,LUZP1
chr1,23518388,23521222,HTR1D
chr1,23630264,23633125,HNRNPR
chr1,23685941,23695935,ZNF436
chr1,23695490,23698276,C1orf213
chr1,23707554,23751233,TCEA3
chr1,23755056,23763170,ASAP3
chr1,23832922,23857712,E2F2
chr1,23884409,23886285,ID3
chr1,23907985,23967058,MDS2
chr1,24018269,24022915,RPL11
chr1,24069645,24088549,TCEB3
chr1,24104895,24114722,PITHD1
chr1,24117460,24122029,LYPLA2
chr1,24122089,24127271,GALE
chr1,24128375,24151949,HMGCL
chr1,24171567,24194784,FUCA1
chr1,24197016,24239852,CNR2
chr1,24285599,24287955,PNRC2
chr1,24291294,24306821,SRSF10
chr1,24382525,24393069,MYOM3
chr1,24446261,24469611,IL22RA1
chr1,24480647,24513751,IFNLR1
chr1,24645812,24681808,GRHL3
chr1,24683489,24741587,STPG1
chr1,24742284,24795797,NIPAL3
chr1,24829387,24863506,RCAN3
chr1,24882602,24935816,NCMAP
chr1,24958207,24962368,SRRM1
chr1,25071848,25170815,CLIC4
chr1,25226009,25256368,RUNX3
chr1,25549170,25558984,SYF2
chr1,25568728,25574010,C1orf63
chr1,25598884,25633433,RHD
chr1,25664408,25688852,TMEM50A
chr1,25688740,25747336,RHCE
chr1,25757411,25826700,TMEM57
chr1,25870071,25895377,LDLRAP1
chr1,25943959,26112698,MAN1C1
chr1,26126667,26144713,SEPN1
chr1,26137961,26149799,RP1-317E23.6
chr1,26145131,26156005,MTFR1L
chr1,26160497,26164038,AUNIP
chr1,26187701,26197744,PAQR7
chr1,26210672,26219098,STMN1
chr1,26286258,26324648,PAFAH2
chr1,26346375,26358038,EXTL1
chr1,26363743,26372604,SLC30A2
chr1,26377795,26394124,TRIM63
chr1,26437664,26448615,PDIK1L
chr1,26485511,26489119,FAM110D
chr1,26496362,26498551,ZNF593
chr1,26503894,26516377,CNKSR1
chr1,26517052,26528094,CATSPER4
chr1,26560691,26605297,CEP85
chr1,26605667,26608007,SH3BGRL3
chr1,26607819,26633127,UBXN11
chr1,26644448,26647014,CD52
chr1,26648350,26670576,AIM1L
chr1,26688125,26699226,ZNF683
chr1,26737269,26756213,LIN28A
chr1,26758773,26797785,DHDDS
chr1,26798941,26800619,HMGN2
chr1,26856252,26873474,RPS6KA1
chr1,27022524,27108595,ARID1A
chr1,27113963,27120741,PIGV
chr1,27153201,27182207,ZDHHC18
chr1,27189633,27190947,SFN
chr1,27205773,27216788,GPN2
chr1,27216979,27219939,GPATCH3
chr1,27226729,27269267,NUDC
chr1,27237980,27240457,NR0B2
chr1,27276053,27286897,C1orf172
chr1,27320198,27327389,TRNP1
chr1,27331511,27339327,FAM46B
chr1,27425306,27430513,SLC9A1
chr1,27561159,27634735,WDTC1
chr1,27648651,27662891,TMEM222
chr1,27668513,27680421,SYTL1
chr1,27681675,27682962,MAP3K6
chr1,27695603,27701315,FCN3
chr1,27705666,27709793,CD164L2
chr1,27719148,27722318,GPR3
chr1,27730730,27816669,WASF2
chr1,27860546,27930102,AHDC1
chr1,27938575,27961788,FGR
chr1,27992572,27998729,IFI6
chr1,28052490,28089633,FAM76A
chr1,28099694,28150963,STX12
chr1,28157289,28178187,PPP1R8
chr1,28199055,28213196,THEMIS2
chr1,28218035,28241254,RPA2
chr1,28261504,28285668,SMPDL3B
chr1,28285973,28294607,XKR8
chr1,28296855,28415207,EYA3
chr1,28473677,28503699,PTAFR
chr1,28525967,28531861,DNAJC8
chr1,28562620,28564616,ATPIF1
chr1,28586038,28609002,SESN2
chr1,28655513,28661527,MED18
chr1,28696114,28826881,PHACTR4
chr1,28832502,28862411,RCC1
chr1,28879597,28905051,TRNAU1AP
chr1,28915835,28944542,TAF12
chr1,28918712,28921955,RAB42
chr1,28995244,29045865,GMEB1
chr1,29063133,29069383,YTHDF2
chr1,29138654,29190208,OPRD1
chr1,29213603,29446532,EPB41
chr1,29445940,29450447,TMEM200B
chr1,29474255,29508499,SRSF4
chr1,29519385,29557436,MECR
chr1,29563028,29652173,PTPRU
chr1,31184124,31196434,MATN1
chr1,31205316,31230667,LAPTM5
chr1,31342314,31351587,SDC3
chr1,31404353,31538542,PUM1
chr1,31652592,31712401,NKAIN1
chr1,31732417,31769617,SNRNP40
chr1,31769842,31837783,ZCCHC17
chr1,31838472,31845923,FABP3
chr1,31882412,31907524,SERINC2
chr1,32042136,32050941,TINAGL1
chr1,32083287,32089350,HCRTR1
chr1,32095463,32110488,PEF1
chr1,32117848,32169920,COL16A1
chr1,32192718,32196906,BAI2
chr1,32256023,32281623,SPOCD1
chr1,32372022,32385084,PTP4A2
chr1,32479430,32509483,KHDRBS1
chr1,32537632,32568464,TMEM39B
chr1,32573639,32642169,KPNA6
chr1,32645287,32663886,TXLNA
chr1,32665987,32670988,CCDC28B
chr1,32671236,32674288,IQCC
chr1,32674695,32681797,DCDC2B
chr1,32680073,32686797,TMEM234
chr1,32687529,32691896,EIF3I
chr1,32712834,32714457,FAM167B
chr1,32716840,32751766,LCK
chr1,32757687,32799236,HDAC1
chr1,32799433,32801980,MARCKSL1
chr1,32817122,32819142,TSSK3
chr1,32826871,32827844,FAM229A
chr1,32830704,32860049,BSDC1
chr1,32930658,33066393,RP1-27O5.3
chr1,32930670,32953461,ZBTB8B
chr1,33005028,33066385,ZBTB8A
chr1,33086421,33116185,ZBTB8OS
chr1,33116743,33145654,RBBP4
chr1,33145961,33168720,SYNC
chr1,33207486,33240571,KIAA1522
chr1,33240840,33247704,YARS
chr1,33282368,33292090,S100PBP
chr1,33327869,33328617,FNDC5
chr1,33351595,33359664,HPCA
chr1,33360195,33361188,TMEM54
chr1,33402046,33430286,RNF19B
chr1,33473585,33502471,AK2
chr1,33546705,33559001,ADC
chr1,33611003,33647267,TRIM62
chr1,33722146,33746015,ZNF362
chr1,33789227,33815412,PHC2
chr1,33938246,33962107,ZSCAN20
chr1,33979609,34631443,CSMD2
chr1,34326076,34330392,HMGB4
chr1,34632484,34684732,C1orf94
chr1,35178338,35325336,SMIM12
chr1,35220648,35224113,GJB5
chr1,35225342,35229325,GJB4
chr1,35246790,35251965,GJB3
chr1,35258599,35261348,GJA4
chr1,35331037,35395186,DLGAP3
chr1,35447134,35497342,ZMYM6
chr1,35447136,35450954,ZMYM6NB
chr1,35525387,35578816,ZMYM1
chr1,35641979,35643262,SFPQ
chr1,35734568,35887545,ZMYM4
chr1,35899091,36023014,KIAA0319L
chr1,36023074,36032373,NCDN
chr1,36038971,36060929,TFAP2E
chr1,36067185,36107445,PSMB2
chr1,36179476,36185073,C1orf216
chr1,36185819,36235568,CLSPN
chr1,36273773,36323491,AGO4
chr1,36335409,36386559,AGO1
chr1,36396319,36449010,AGO3
chr1,36549676,36553876,TEKT2
chr1,36554476,36559533,ADPRHL2
chr1,36560837,36565850,COL8A2
chr1,36602173,36615070,TRAPPC3
chr1,36621180,36640609,MAP7D1
chr1,36690017,36770958,THRAP3
chr1,36771988,36785398,SH3D21
chr1,36787632,36789755,EVA1B
chr1,36789335,36794822,RP11-268J15.5
chr1,36805225,36826941,STK40
chr1,36856839,36863488,LSM10
chr1,36881428,36887782,OSCP1
chr1,36921319,36930038,MRPS15
chr1,36931644,36948879,CSF3R
chr1,37261128,37499726,GRIK3
chr1,37940153,37949980,ZC3H12A
chr1,37958176,37980364,MEAF6
chr1,38002142,38019903,SNIP1
chr1,38022520,38032458,DNALI1
chr1,38032417,38033716,GNL2
chr1,38076951,38100337,RSPO1
chr1,38147242,38156192,C1orf109
chr1,38158090,38175391,CDCA8
chr1,38179552,38197166,EPHA10
chr1,38259474,38266805,MANEAL
chr1,38268616,38273857,YRDC
chr1,38272651,38275124,C1orf122
chr1,38275239,38325292,MTF1
chr1,38326369,38397421,INPP5B
chr1,38422647,38456593,SF3A3
chr1,38462442,38471174,FHL3
chr1,38474930,38484781,UTP11L
chr1,38509523,38512450,POU3F1
chr1,39303870,39325495,RRAGC
chr1,39328636,39339777,MYCBP
chr1,39340123,39342023,GJA9
chr1,39351479,39407456,RHBDL2
chr1,39456895,39471731,AKIRIN1
chr1,39491990,39500308,NDUFS5
chr1,39546988,39568653,MACF1
chr1,39876151,39882154,KIAA0754
chr1,39957318,39991607,BMP8A
chr1,40026488,40027682,PABPC4
chr1,40089825,40105617,HEYL
chr1,40124793,40137710,NT5C1A
chr1,40144320,40157361,HPCAL4
chr1,40157854,40211075,PPIE
chr1,40222854,40254533,BMP8B
chr1,40235195,40237020,OXCT2
chr1,40306723,40349163,TRIT1
chr1,40361098,40367685,MYCL1
chr1,40420802,40435638,MFSD2A
chr1,40505905,40538321,CAP1
chr1,40538379,40563375,PPT1
chr1,40627045,40706593,RLF
chr1,40711619,40717355,TMCO2
chr1,40723779,40759856,ZMPSTE24
chr1,40766159,40782966,COL9A2
chr1,40810522,40879912,SMAP2
chr1,40915774,40929386,ZFP69B
chr1,40942887,40962015,ZFP69
chr1,40974413,40981708,EXO5
chr1,40997233,41013841,ZNF684
chr1,41086351,41131329,RIMS3
chr1,41157320,41224120,NFYC
chr1,41249684,41306124,KCNQ4
chr1,41326729,41328018,CITED4
chr1,41445007,41478235,CTPS1
chr1,41481269,41487387,SLFNL1
chr1,41492874,41626570,SCMH1
chr1,41827594,41849262,FOXO6
chr1,41944446,41950342,EDN2
chr1,41972036,42384169,HIVEP3
chr1,42619092,42621495,GUCA2B
chr1,42628362,42630389,GUCA2A
chr1,42642210,42655480,FOXJ3
chr1,42846466,42875836,RIMKLA
chr1,42896000,42921938,ZMYND12
chr1,42921788,42925752,PPCS
chr1,42929001,42948667,CCDC30
chr1,43124096,43142429,PPIH
chr1,43148098,43168020,YBX1
chr1,43198764,43205925,CLDN19
chr1,43212045,43232660,LEPRE1
chr1,43232940,43241418,C1orf50
chr1,43272723,43282475,CCDC23
chr1,43282795,43310654,ERMAP
chr1,43312280,43318148,ZNF691
chr1,43391052,43424501,SLC2A1
chr1,43610824,43622067,FAM183A
chr1,43629855,43637931,EBNA1BP2
chr1,43637820,43720029,WDR65
chr1,43735665,43739673,TMEM125
chr1,43747554,43751250,C1orf210
chr1,43766664,43788779,TIE1
chr1,43803478,43818443,MPL
chr1,43824626,43828874,CDC20
chr1,43829068,43833689,ELOVL1
chr1,43849588,43855479,MED8
chr1,43855553,43872565,SZT2
chr1,43916824,43917411,HYI
chr1,43990858,44019190,PTPRF
chr1,44115829,44171186,KDM4A
chr1,44171495,44303918,ST3GAL3
chr1,44398992,44402913,ARTN
chr1,44412611,44433694,IPO13
chr1,44435672,44436685,DPH2
chr1,44440159,44442495,ATP6V0B
chr1,44444615,44446999,B4GALT2
chr1,44457031,44462196,CCDC24
chr1,44457172,44482228,SLC6A9
chr1,44584522,44600812,KLF17
chr1,44679127,44686353,DMAP1
chr1,44686742,44785422,ERI3
chr1,44870866,45117395,RNF220
chr1,45100910,45140131,TMEM53
chr1,45140364,45190146,C1orf228
chr1,45205490,45223643,KIF2C
chr1,45240923,45243759,RPS8
chr1,45249257,45253377,BEST4
chr1,45265897,45271662,PLK3
chr1,45271585,45272347,TCTEX1D4
chr1,45274195,45279598,BTBD19
chr1,45285516,45288932,PTCH2
chr1,45316450,45392327,EIF2B3
chr1,45468212,45471260,HECTD3
chr1,45477819,45481247,UROD
chr1,45482071,45672228,ZSWIM5
chr1,45792545,45794347,HPDL
chr1,45794835,45806119,MUTYH
chr1,45805342,45809647,TOE1
chr1,45809555,45923471,TESK2
chr1,45959538,45965751,CCDC163P
chr1,45965725,45976739,MMACHC
chr1,45976708,45987609,PRDX1
chr1,46016215,46035721,AKR1A1
chr1,46049518,46080803,NASP
chr1,46085716,46089673,CCDC17
chr1,46092976,46101396,GPBP1L1
chr1,46152886,46160115,TMEM69
chr1,46159996,46216322,IPP
chr1,46252659,46383181,MAST2
chr1,46505812,46598314,PIK3R3
chr1,46640745,46650970,TSPAN1
chr1,46654355,46664115,POMGNT1
chr1,46669006,46686933,LURAP1
chr1,46713360,46727030,RAD54L
chr1,46726868,46746833,LRRC41
chr1,46769303,46782448,UQCRH
chr1,46805849,46827863,NSUN4
chr1,46859937,46879517,FAAH
chr1,46972669,46979898,DMBX1
chr1,47011316,47015684,KNCN
chr1,47023090,47051643,MKNK1
chr1,47073391,47080805,MOB3C
chr1,47098409,47134126,ATPAF1
chr1,47140831,47184736,EFCAB14
chr1,47134527,47138923,TEX38
chr1,47223510,47276522,CYP4B1
chr1,47394849,47407137,CYP4A11
chr1,47489240,47516423,CYP4X1
chr1,47533160,47583991,CYP4Z1
chr1,47603107,47614536,CYP4A22
chr1,47649265,47655679,PDZK1IP1
chr1,47681962,47697387,TAL1
chr1,47715811,47779819,STIL
chr1,47799469,47844511,CMPK1
chr1,47881744,47883723,FOXE3
chr1,47901689,47906363,FOXD2
chr1,48231308,48462567,TRABD2B
chr1,48688357,48713273,SLC5A9
chr1,48761044,48937845,SPATA6
chr1,48998527,50489585,AGBL4
chr1,49193195,49242590,BEND5
chr1,50569582,50669442,ELAVL4
chr1,50883222,50887304,DMRTA2
chr1,50905150,51425935,FAF1
chr1,51426417,51440305,CDKN2C
chr1,51567906,51613752,C1orf185
chr1,51701943,51739127,RNF11
chr1,51752930,51763662,TTC39A
chr1,51819935,51984913,EPS15
chr1,52042851,52254141,OSBPL9
chr1,52254863,52279743,NRD1
chr1,52373628,52456436,RAB3B
chr1,52485803,52489246,TXNDC12
chr1,52497775,52499488,KTI12
chr1,52521797,52556388,BTF3L4
chr1,52608046,52729719,ZFYVE9
chr1,52811395,52820537,CC2D1B
chr1,52838501,52870131,ORC1
chr1,52870236,52883992,PRPF38A
chr1,52873954,52896899,ZCCHC11
chr1,53068044,53074723,GPX7
chr1,53099016,53122737,FAM159A
chr1,53152508,53164038,SELRC1
chr1,53192181,53293014,ZYG11B
chr1,53308183,53360670,ZYG11A
chr1,53361656,53387439,ECHDC2
chr1,53392901,53517375,SCP2
chr1,53527854,53551174,PODN
chr1,53552855,53608249,SLC1A7
chr1,53662101,53679869,CPT2
chr1,53679771,53686289,C1orf123
chr1,53692564,53704282,MAGOH
chr1,53711217,53793686,LRP8
chr1,53925072,53933161,DMRTB1
chr1,53971910,54199877,GLIS1
chr1,54231133,54304533,TMEM48
chr1,54317392,54355406,YIPF1
chr1,54356912,54371833,DIO1
chr1,54387234,54411602,HSPB11
chr1,54411750,54433841,LRRC42
chr1,54474412,54483845,LDLRAD1
chr1,54497347,54513686,TMEM59
chr1,54519260,54578192,TCEANC2
chr1,54598747,54605522,CDCP2
chr1,54606897,54638367,CYB5RL
chr1,54649714,54675805,MRPL37
chr1,54691105,54822491,SSBP3
chr1,54703710,54704736,C1orf191
chr1,55007930,55075797,ACOT11
chr1,55074855,55089229,FAM151A
chr1,55107459,55207904,MROH7
chr1,55181495,55208330,TTC4
chr1,55222571,55230187,PARS2
chr1,55245385,55266940,TTC22
chr1,55271736,55307925,C1orf177
chr1,55315306,55352891,DHCR24
chr1,55446465,55457966,TMEM61
chr1,55464606,55476556,BSND
chr1,55505221,55530525,PCSK9
chr1,55532032,55680786,USP24
chr1,56960419,57045241,PPAP2B
chr1,57110995,57181008,PRKAA2
chr1,57184477,57285044,C1orf168
chr1,57320479,57383894,C8A
chr1,57394883,57431688,C8B
chr1,57460451,57889729,DAB1
chr1,58881056,58996334,OMA1
chr1,59041099,59043166,TACSTD2
chr1,59120411,59165764,MYSM1
chr1,59246465,59249785,JUN
chr1,59762310,59787384,FGGY
chr1,60280458,60301022,HOOK1
chr1,60358980,60392462,CYP2J2
chr1,60452941,60474524,C1orf87
chr1,61330931,61921197,NFIA
chr1,62146720,62149529,TM2D1
chr1,62208149,62579922,INADL
chr1,62660503,62678000,L1TD1
chr1,62702651,62729096,KANK4
chr1,62901968,62908991,USP1
chr1,62920569,63021605,DOCK7
chr1,63063158,63071830,ANGPTL3
chr1,63249806,63284736,ATG4C
chr1,63788730,63790797,FOXD3
chr1,63833261,63904233,ALG6
chr1,63906441,63912731,ITGB3BP
chr1,63989043,63998367,EFCAB7
chr1,64014588,64015405,DLEU2L
chr1,64058947,64125916,PGM1
chr1,64239693,64609068,ROR1
chr1,64669310,64733053,UBE2U
chr1,64936475,65158741,CACHD1
chr1,65210778,65298915,RAVER2
chr1,65298912,65432187,JAK1
chr1,65613232,65691775,AK4
chr1,65713902,65831877,DNAJC6
chr1,65886335,66096105,LEPR
chr1,65886270,65897747,LEPROT
chr1,66258197,66839961,PDE4B
chr1,66999066,67210057,SGIP1
chr1,67218142,67236579,TCTEX1D1
chr1,67263424,67266939,INSL5
chr1,67278568,67390570,WDR78
chr1,67390640,67453714,MIER1
chr1,67465015,67519782,SLC35D1
chr1,67557848,67697535,C1orf141
chr1,67632083,67725662,IL23R
chr1,67773047,67862583,IL12RB2
chr1,67873493,67896098,SERBP1
chr1,68150744,68154021,GADD45A
chr1,68167149,68299150,GNG12
chr1,68511645,68517314,DIRAS3
chr1,68564156,68698228,WLS
chr1,68894505,68915642,RPE65
chr1,68939835,68962797,DEPDC1
chr1,70034081,70589171,LRRC7
chr1,70610488,70671303,LRRC40
chr1,70671365,70717300,SRSF11
chr1,70726271,70820405,ANKRD13C
